num_of_players,num_of_gifts,value_noise_ratio,algorithm,random_seed,total_value,min_value,runtime
6,6,0.0,qp_max_min_allocation,4,0,0,0.11241329973563552
6,6,0.0,santa_claus_main,0,3422,42,0.2446112004108727
6,6,0.0,santa_claus_main,1,3259,0,0.20673729991540313
6,6,0.0,santa_claus_main,2,3856,0,0.2204835000447929
6,6,0.0,santa_claus_main,3,2860,134,0.2339050997979939
6,6,0.0,santa_claus_main,4,2295,0,0.2234231000766158
6,8,0.0,qp_max_min_allocation,0,4016,42,0.09360879985615611
6,8,0.0,qp_max_min_allocation,1,0,0,0.10405700001865625
6,8,0.0,qp_max_min_allocation,2,3885,87,0.13336810003966093
6,8,0.0,qp_max_min_allocation,3,3721,486,0.18077379977330565
6,8,0.0,qp_max_min_allocation,4,2454,242,0.17710359999909997
6,8,0.0,santa_claus_main,0,4677,42,0.21988390013575554
6,8,0.0,santa_claus_main,1,3642,65,0.20531689980998635
6,8,0.0,santa_claus_main,2,4313,239,0.24563670018687844
6,8,0.0,santa_claus_main,3,3965,379,0.2759961998090148
6,8,0.0,santa_claus_main,4,2547,252,0.1862286999821663
6,10,0.0,qp_max_min_allocation,0,5391,777,0.12969909980893135
6,10,0.0,qp_max_min_allocation,1,3826,262,0.07621120009571314
6,10,0.0,qp_max_min_allocation,2,3559,174,0.11993509996682405
6,10,0.0,qp_max_min_allocation,3,0,0,0.09889140026643872
6,10,0.0,qp_max_min_allocation,4,2441,242,0.12118289992213249
6,10,0.0,santa_claus_main,0,5699,819,0.4411307000555098
6,10,0.0,santa_claus_main,1,4930,262,0.27993710013106465
6,10,0.0,santa_claus_main,2,5343,355,0.2563903001137078
6,10,0.0,santa_claus_main,3,5201,244,0.2524518999271095
6,10,0.0,santa_claus_main,4,2637,311,0.46529379999265075
6,12,0.0,qp_max_min_allocation,0,5506,777,0.10130340000614524
6,12,0.0,qp_max_min_allocation,1,0,0,0.11113099986687303
6,12,0.0,qp_max_min_allocation,2,6513,870,0.12951319990679622
6,12,0.0,qp_max_min_allocation,3,3849,486,0.06312340032309294
6,12,0.0,qp_max_min_allocation,4,2269,159,0.19929390028119087
6,12,0.0,santa_claus_main,0,7055,819,0.7069912999868393
6,12,0.0,santa_claus_main,1,5875,138,0.7660632999613881
6,12,0.0,santa_claus_main,2,6926,829,0.808547000400722
6,12,0.0,santa_claus_main,3,5890,486,0.7747010998427868
6,12,0.0,santa_claus_main,4,3612,491,0.8305758000351489
6,14,0.0,qp_max_min_allocation,0,7863,989,0.10896450001746416
6,14,0.0,qp_max_min_allocation,1,5431,783,0.12234750017523766
6,14,0.0,qp_max_min_allocation,2,0,0,0.18785669980570674
6,14,0.0,qp_max_min_allocation,3,3958,558,0.18222879990935326
6,14,0.0,qp_max_min_allocation,4,1897,93,0.12156020011752844
6,14,0.0,santa_claus_main,0,8708,989,3.3246132996864617
6,14,0.0,santa_claus_main,1,6932,868,3.21999099990353
6,14,0.0,santa_claus_main,2,8487,918,2.5398027999326587
6,14,0.0,santa_claus_main,3,6835,952,3.0147763998247683
6,14,0.0,santa_claus_main,4,4849,93,2.4996944000013173
